num_genero,genero,titulo,tipo,archivo_mp3,ficha_letra,url
011,Sentimiento_Musical_Multilingue,Тихий Вечер RUSO V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/011-Тихий_Вечер_RUSO_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/011-Тихий_Вечер_RUSO_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139854/%D0%A2%D0%B8%D1%85%D0%B8%D0%B9_%D0%92%D0%B5%D1%87%D0%B5%D1%80_RUSO_V2_kp9gas.mp3
012,Sentimiento_Musical_Multilingue,Тихий Вечер RUSO V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/012-Тихий_Вечер_RUSO_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/012-Тихий_Вечер_RUSO_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139855/%D0%A2%D0%B8%D1%85%D0%B8%D0%B9_%D0%92%D0%B5%D1%87%D0%B5%D1%80_RUSO_V1_xju9ir.mp3
013,Sentimiento_Musical_Multilingue,Στο Σπίτι Μου GRECIA V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/013-Στο_Σπίτι_Μου_GRECIA_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/013-Στο_Σπίτι_Μου_GRECIA_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139874/%CE%A3%CF%84%CE%BF_%CE%A3%CF%80%CE%AF%CF%84%CE%B9_%CE%9C%CE%BF%CF%85_GRECIA_V2_jckpmj.mp3
014,Sentimiento_Musical_Multilingue,Στο Σπίτι Μου GRECIA V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/014-Στο_Σπίτι_Μου_GRECIA_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/014-Στο_Σπίτι_Μου_GRECIA_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139873/%CE%A3%CF%84%CE%BF_%CE%A3%CF%80%CE%AF%CF%84%CE%B9_%CE%9C%CE%BF%CF%85_GRECIA_V1_mwgcvo.mp3
015,Sentimiento_Musical_Multilingue,WhoWroteTheseWords,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/015-WhoWroteTheseWords.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/015-WhoWroteTheseWords.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139875/WhoWroteTheseWords_wt6bsh.mp3
016,Sentimiento_Musical_Multilingue,Unser Schicksal DEUTSCH V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/016-Unser_Schicksal_DEUTSCH_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/016-Unser_Schicksal_DEUTSCH_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139877/Unser_Schicksal_DEUTSCH_V2_auu6yx.mp3
017,Sentimiento_Musical_Multilingue,Unser Schicksal DEUTSCH V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/017-Unser_Schicksal_DEUTSCH_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/017-Unser_Schicksal_DEUTSCH_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139876/Unser_Schicksal_DEUTSCH_V1_divfpf.mp3
018,Sentimiento_Musical_Multilingue,Universal Live Jazz Ballad,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/018-Universal_Live_Jazz_Ballad.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/018-Universal_Live_Jazz_Ballad.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139877/Universal_Live_Jazz_Ballad_hlw9zp.mp3
019,Sentimiento_Musical_Multilingue,Universal Acoustic Ballad Instrumental,instrumental,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/019-Universal_Acoustic_Ballad_Instrumental.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/019-Universal_Acoustic_Ballad_Instrumental.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139879/Universal_Acoustic_Ballad_Instrumental_e8b1al.mp3
020,Sentimiento_Musical_Multilingue,Unbound,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/020-Unbound.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/020-Unbound.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139874/Unbound_j3lgqt.mp3
